area_code,hb_name,date_code,value_percent,distance_to_nearest_green_or_blue_space,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity
S12000005,NHS Forth Valley,2014,0,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,3,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,4,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2019,8,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2019,7,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2014,77,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2015,64,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,0,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2015,9,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2016,8,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,0,Don't Know,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,14,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2018,18,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2019,7,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,6,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,20,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2018,17,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2018,17,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,20,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,11,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,7,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,12,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,3,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,7,An 11 minute walk or more,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,3,Don't Know,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,1,Don't Know,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,0,Don't Know,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2014,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,26,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2013,21,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2017,16,Within a 6-10 minute walk,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2017,7,Within a 6-10 minute walk,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2017,8,Within a 6-10 minute walk,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2017,16,Within a 6-10 minute walk,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2016,12,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,5,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2016,5,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,6,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2015,6,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2016,3,An 11 minute walk or more,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2016,7,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2017,1,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2017,9,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2018,1,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,9,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2019,5,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2016,1,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,17,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2014,21,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2013,1,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2018,63,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2016,9,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2016,11,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2015,7,An 11 minute walk or more,All,All,All,All,All,With Children,All
S12000005,NHS Forth Valley,2018,16,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,0,Don't Know,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2017,0,Don't Know,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,1,Don't Know,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,0,Don't Know,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2017,0,Don't Know,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2017,0,Don't Know,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,0,Don't Know,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,0,Don't Know,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2019,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,1,Don't Know,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2018,1,Don't Know,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2014,0,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2015,1,Don't Know,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2014,2,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2017,77,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2013,9,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2017,13,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2016,65,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2018,3,Don't Know,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2019,1,Don't Know,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2013,69,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2018,19,An 11 minute walk or more,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,76,A 5 minute walk or less,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2019,73,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2017,16,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2014,15,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2018,61,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2018,18,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2019,1,Don't Know,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2018,19,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2017,1,Don't Know,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2019,19,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2017,5,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2018,2,Don't Know,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2016,63,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2015,66,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2017,78,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2019,7,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2013,23,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2014,84,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2013,69,A 5 minute walk or less,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2015,19,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2013,8,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2016,24,Within a 6-10 minute walk,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2014,1,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2015,15,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2016,12,An 11 minute walk or more,All,All,All,All,Owned Outright,All,All
S12000005,NHS Forth Valley,2016,1,Don't Know,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2015,3,Don't Know,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2016,63,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2014,0,Don't Know,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2014,67,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2015,31,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2018,20,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2019,80,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2013,70,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2019,10,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2013,20,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2019,10,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2014,30,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2017,11,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2018,23,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2014,3,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2018,57,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2015,5,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2013,2,Don't Know,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2013,8,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2017,1,Don't Know,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2016,29,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2017,75,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2017,13,Within a 6-10 minute walk,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2015,61,A 5 minute walk or less,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2016,7,An 11 minute walk or more,All,All,All,All,Social Rented,All,All
S12000005,NHS Forth Valley,2018,17,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2016,27,Within a 6-10 minute walk,All,All,Urban,All,All,All,All
S12000005,NHS Forth Valley,2017,8,An 11 minute walk or more,All,Male,All,All,All,All,All
S12000005,NHS Forth Valley,2017,2,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2017,9,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2016,7,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2017,13,An 11 minute walk or more,All,All,All,All,All,Adults,All
S12000005,NHS Forth Valley,2017,9,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2019,6,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,8,An 11 minute walk or more,35-64 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2014,2,An 11 minute walk or more,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2016,7,An 11 minute walk or more,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2013,10,An 11 minute walk or more,16-34 years,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,8,An 11 minute walk or more,All,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,14,An 11 minute walk or more,All,All,All,All,All,Pensioners,All
S12000005,NHS Forth Valley,2013,7,An 11 minute walk or more,65 years and over,All,All,All,All,All,All
S12000005,NHS Forth Valley,2015,10,An 11 minute walk or more,All,Female,All,All,All,All,All
S12000005,NHS Forth Valley,2014,88,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2017,92,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2016,79,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2015,18,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2013,72,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2014,12,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2019,21,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2016,17,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2016,3,An 11 minute walk or more,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2015,77,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2013,19,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2017,2,Within a 6-10 minute walk,All,All,All,All,Owned Mortgage/Loan,All,All
S12000005,NHS Forth Valley,2019,76,A 5 minute walk or less,All,All,All,All,Owned Mortgage/Loan,All,All
