area_code,date_code,years_of_quality_life,sex,age,simd_quintiles,urban_rural_classification
S12000008,2016-2018,40.03,Male,20-24 years,All,All
S12000008,2016-2018,20.01,Male,45-49 years,All,All
S12000008,2016-2018,0.82,Male,90 years,All,All
S12000045,2016-2018,69.69,Male,0 years,All,All
S12000008,2016-2018,44.5,Male,15-19 years,All,All
S12000008,2016-2018,31.65,Male,30-34 years,All,All
S12000028,2016-2018,34.83,Male,30-34 years,All,All
S12000028,2016-2018,52.7,Male,10-14 years,All,All
S12000028,2016-2018,22.82,Male,45-49 years,All,All
S12000008,2016-2018,2.3,Male,80-84 years,All,All
S12000008,2016-2018,35.75,Male,25-29 years,All,All
S12000008,2016-2018,1.42,Male,85-89 years,All,All
S12000008,2016-2018,10.22,Male,60-64 years,All,All
S12000008,2016-2018,7.57,Male,65-69 years,All,All
S12000042,2016-2018,8.28,Male,65-69 years,All,All
S12000008,2016-2018,13.26,Male,55-59 years,All,All
S12000008,2016-2018,57.04,Male,1-4 years,All,All
S12000008,2016-2018,57.79,Male,0 years,All,All
S12000008,2016-2018,3.61,Male,75-79 years,All,All
S12000028,2016-2018,12.48,Male,60-64 years,All,All
S12000042,2016-2018,13.34,Male,55-59 years,All,All
S12000028,2016-2018,15.68,Male,55-59 years,All,All
S12000008,2016-2018,5.38,Male,70-74 years,All,All
S12000042,2016-2018,10.59,Male,60-64 years,All,All
S12000042,2016-2018,16.41,Male,50-54 years,All,All
S12000008,2016-2018,23.72,Male,40-44 years,All,All
S12000028,2016-2018,43.46,Male,20-24 years,All,All
S12000042,2016-2018,19.64,Male,45-49 years,All,All
S12000028,2016-2018,39.07,Male,25-29 years,All,All
S12000008,2016-2018,27.54,Male,35-39 years,All,All
S12000028,2016-2018,48.07,Male,15-19 years,All,All
S12000008,2016-2018,16.55,Male,50-54 years,All,All
S12000008,2016-2018,53.54,Male,5-9 years,All,All
S12000008,2016-2018,49.03,Male,10-14 years,All,All
S12000042,2016-2018,22.8,Male,40-44 years,All,All
S12000042,2016-2018,30.29,Male,30-34 years,All,All
S12000042,2016-2018,26.38,Male,35-39 years,All,All
S12000042,2016-2018,34.46,Male,25-29 years,All,All
S92000003,2016-2018,38.94,Male,25-29 years,All,All
S92000003,2016-2018,43.39,Male,20-24 years,All,All
S92000003,2016-2018,3.66,Male,80-84 years,All,All
S92000003,2016-2018,34.63,Male,30-34 years,All,All
S92000003,2016-2018,26.48,Male,40-44 years,All,All
S92000003,2016-2018,15.74,Male,55-59 years,All,All
S92000003,2016-2018,30.47,Male,35-39 years,All,All
