area_code,date_code,years_to_live,sex,age,simd_quintiles,urban_rural_classification
S12000014,1997-1999,26.06,Male,50-54 years,All,All
S12000020,1997-1999,15.09,Male,65-69 years,All,All
S12000020,1997-1999,60.08,Male,15-19 years,All,All
S12000014,1997-1999,35.21,Male,40-44 years,All,All
S12000010,2012-2014,7.73,Male,80-84 years,All,All
S12000010,2012-2014,4.07,Male,90 years,All,All
S12000014,1997-1999,4.6,Male,85-89 years,All,All
S12000014,1997-1999,39.89,Male,35-39 years,All,All
S12000045,2012-2014,55.92,Male,25-29 years,All,All
S12000045,2012-2014,79.74,Male,1-4 years,All,All
S12000036,2012-2014,25.88,Male,55-59 years,All,All
S12000036,2012-2014,21.87,Male,60-64 years,All,All
S12000013,1997-1999,52.13,Male,20-24 years,All,All
S12000036,2012-2014,30.14,Male,50-54 years,All,All
S12000013,1997-1999,70.8,Male,1-4 years,All,All
S12000013,1997-1999,38.71,Male,35-39 years,All,All
S12000013,1997-1999,70.94,Male,0 years,All,All
S12000035,2012-2014,4.36,Male,90 years,All,All
S12000045,2012-2014,80.52,Male,0 years,All,All
S12000036,2012-2014,4.3,Male,90 years,All,All
S12000014,1997-1999,3.08,Male,90 years,All,All
S12000013,1997-1999,33.95,Male,40-44 years,All,All
S12000010,2012-2014,5.62,Male,85-89 years,All,All
S12000013,1997-1999,29.51,Male,45-49 years,All,All
S12000045,2012-2014,75.74,Male,5-9 years,All,All
S12000013,1997-1999,43.34,Male,30-34 years,All,All
S12000036,2012-2014,14.39,Male,70-74 years,All,All
S12000010,2012-2014,21.78,Male,60-64 years,All,All
S12000013,1997-1999,47.89,Male,25-29 years,All,All
S12000010,2012-2014,10.86,Male,75-79 years,All,All
S12000014,1997-1999,11.03,Male,70-74 years,All,All
S12000010,2012-2014,26.24,Male,55-59 years,All,All
S12000045,2012-2014,41.64,Male,40-44 years,All,All
S12000010,2012-2014,17.89,Male,65-69 years,All,All
S12000045,2012-2014,70.74,Male,10-14 years,All,All
S12000045,2012-2014,51.2,Male,30-34 years,All,All
S12000045,2012-2014,65.78,Male,15-19 years,All,All
S12000014,1997-1999,44.62,Male,30-34 years,All,All
S12000045,2012-2014,60.81,Male,20-24 years,All,All
S12000045,2012-2014,46.49,Male,35-39 years,All,All
S12000014,1993-1995,48.29,Male,25-29 years,All,All
S12000011,1993-1995,4.56,Male,85-89 years,All,All
S12000011,1993-1995,11.82,Male,70-74 years,All,All
S12000011,1993-1995,70.37,Male,5-9 years,All,All
S12000045,1993-1995,74.88,Male,0 years,All,All
S12000011,1993-1995,6.52,Male,80-84 years,All,All
S12000047,1993-1995,72.96,Male,0 years,All,All
S92000003,2015-2017,5.54,Male,85-89 years,All,Other urban areas
S92000003,2015-2017,13.54,Male,70-74 years,All,Other urban areas
